Nombre Distrito;Femenino;Masculino;Calles sin genero
CENTRO              ;52;250;247
ARGANZUELA          ;10;87;116
RETIRO              ;7;90;71
SALAMANCA           ;16;130;66
CHAMARTÍN           ;29;188;202
TETUÁN              ;47;164;162
CHAMBERÍ            ;7;113;40
FUENCARRAL-EL PARDO ;49;149;391
MONCLOA-ARAVACA     ;37;147;425
LATINA              ;33;147;261
CARABANCHEL         ;81;254;319
USERA               ;35;101;182
PUENTE DE VALLECAS  ;37;163;346
MORATALAZ           ;2;30;55
CIUDAD LINEAL       ;61;208;167
HORTALEZA           ;48;174;351
VILLAVERDE          ;34;66;250
VILLA DE VALLECAS   ;16;49;271
VICÁLVARO           ;22;50;169
SAN BLAS-CANILLEJAS ;38;140;323
BARAJAS             ;6;18;215
